 ! iterateMC: [Summary] Iteration            1 ;            0 % converged cells in grid            1
 ! iterateMC: [Summary] Iteration            1 ;            0 % no hit cells in grid            1
 ! iterateMC: [Summary] Iteration            1 ;            0 % Ion balance not reached in grid            1
 ! iterateMC: [Summary] Iteration            1 ;            0 % Te balance not reached in grid           1
 ! iterateMC: [Summary] Iteration            1 ; Total:     0.00000000     % converged cells over all grids
 ! iterateMC: [Summary] Iteration            1 ;      1000000  energy packets used
 T(H+)    10796.9434      componenet            0
 T(H+)    10796.9434      componenet            1
 ! iterateMC: [Summary] Iteration            2 ;            0 % converged cells in grid            1
 ! iterateMC: [Summary] Iteration            2 ;            0 % no hit cells in grid            1
 ! iterateMC: [Summary] Iteration            2 ;            0 % Ion balance not reached in grid            1
 ! iterateMC: [Summary] Iteration            2 ;            0 % Te balance not reached in grid           1
 ! iterateMC: [Summary] Iteration            2 ; Total:     0.00000000     % converged cells over all grids
 ! iterateMC: [Summary] Iteration            2 ;      1000000  energy packets used
 T(H+)    11951.7480      componenet            0
 T(H+)    11951.7480      componenet            1
 ! iterateMC: [Summary] Iteration            3 ;           10 % converged cells in grid            1
 ! iterateMC: [Summary] Iteration            3 ;            0 % no hit cells in grid            1
 ! iterateMC: [Summary] Iteration            3 ;            0 % Ion balance not reached in grid            1
 ! iterateMC: [Summary] Iteration            3 ;            0 % Te balance not reached in grid           1
 ! iterateMC: [Summary] Iteration            3 ; Total:     10.5906315     % converged cells over all grids
 ! iterateMC: [Summary] Iteration            3 ;      1000000  energy packets used
 T(H+)    12320.8477      componenet            0
 T(H+)    12320.8477      componenet            1
 ! iterateMC: [Summary] Iteration            4 ;           35 % converged cells in grid            1
 ! iterateMC: [Summary] Iteration            4 ;            0 % no hit cells in grid            1
 ! iterateMC: [Summary] Iteration            4 ;            0 % Ion balance not reached in grid            1
 ! iterateMC: [Summary] Iteration            4 ;            0 % Te balance not reached in grid           1
 ! iterateMC: [Summary] Iteration            4 ; Total:     35.7433815     % converged cells over all grids
 ! iterateMC: [Summary] Iteration            4 ;      1000000  energy packets used
 T(H+)    12483.5146      componenet            0
 T(H+)    12483.5146      componenet            1
 ! iterateMC: [Summary] Iteration            5 ;           50 % converged cells in grid            1
 ! iterateMC: [Summary] Iteration            5 ;            0 % no hit cells in grid            1
 ! iterateMC: [Summary] Iteration            5 ;            0 % Ion balance not reached in grid            1
 ! iterateMC: [Summary] Iteration            5 ;            0 % Te balance not reached in grid           1
 ! iterateMC: [Summary] Iteration            5 ; Total:     50.6109962     % converged cells over all grids
 ! iterateMC: [Summary] Iteration            5 ;      1000000  energy packets used
 T(H+)    12550.3623      componenet            0
 T(H+)    12550.3623      componenet            1
 ! iterateMC: [Summary] Iteration            6 ;           48 % converged cells in grid            1
 ! iterateMC: [Summary] Iteration            6 ;            0 % no hit cells in grid            1
 ! iterateMC: [Summary] Iteration            6 ;            0 % Ion balance not reached in grid            1
 ! iterateMC: [Summary] Iteration            6 ;            0 % Te balance not reached in grid           1
 ! iterateMC: [Summary] Iteration            6 ; Total:     48.6761703     % converged cells over all grids
 ! iterateMC: [Summary] Iteration            6 ;      1000000  energy packets used
 T(H+)    12599.1943      componenet            0
 T(H+)    12599.1943      componenet            1
 ! iterateMC: [Summary] Iteration            7 ;           58 % converged cells in grid            1
 ! iterateMC: [Summary] Iteration            7 ;            0 % no hit cells in grid            1
 ! iterateMC: [Summary] Iteration            7 ;            0 % Ion balance not reached in grid            1
 ! iterateMC: [Summary] Iteration            7 ;            0 % Te balance not reached in grid           1
 ! iterateMC: [Summary] Iteration            7 ; Total:     58.5539703     % converged cells over all grids
 ! iterateMC: [Summary] Iteration            7 ;      2000000  energy packets used
 T(H+)    12610.9268      componenet            0
 T(H+)    12610.9268      componenet            1
 ! iterateMC: [Summary] Iteration            8 ;           64 % converged cells in grid            1
 ! iterateMC: [Summary] Iteration            8 ;            0 % no hit cells in grid            1
 ! iterateMC: [Summary] Iteration            8 ;            0 % Ion balance not reached in grid            1
 ! iterateMC: [Summary] Iteration            8 ;            0 % Te balance not reached in grid           1
 ! iterateMC: [Summary] Iteration            8 ; Total:     64.8676147     % converged cells over all grids
 ! iterateMC: [Summary] Iteration            8 ;      2000000  energy packets used
 T(H+)    12608.5947      componenet            0
 T(H+)    12608.5947      componenet            1
 ! iterateMC: [Summary] Iteration            9 ;           71 % converged cells in grid            1
 ! iterateMC: [Summary] Iteration            9 ;            0 % no hit cells in grid            1
 ! iterateMC: [Summary] Iteration            9 ;            0 % Ion balance not reached in grid            1
 ! iterateMC: [Summary] Iteration            9 ;            0 % Te balance not reached in grid           1
 ! iterateMC: [Summary] Iteration            9 ; Total:     71.8940964     % converged cells over all grids
 ! iterateMC: [Summary] Iteration            9 ;      4000000  energy packets used
 T(H+)    12623.1162      componenet            0
 T(H+)    12623.1162      componenet            1
 ! iterateMC: [Summary] Iteration           10 ;           84 % converged cells in grid            1
 ! iterateMC: [Summary] Iteration           10 ;            0 % no hit cells in grid            1
 ! iterateMC: [Summary] Iteration           10 ;            0 % Ion balance not reached in grid            1
 ! iterateMC: [Summary] Iteration           10 ;            0 % Te balance not reached in grid           1
 ! iterateMC: [Summary] Iteration           10 ; Total:     84.5213852     % converged cells over all grids
 ! iterateMC: [Summary] Iteration           10 ;      8000000  energy packets used
 T(H+)    12624.1309      componenet            0
 T(H+)    12624.1309      componenet            1
 ! iterateMC: [Summary] Iteration           11 ;           89 % converged cells in grid            1
 ! iterateMC: [Summary] Iteration           11 ;            0 % no hit cells in grid            1
 ! iterateMC: [Summary] Iteration           11 ;            0 % Ion balance not reached in grid            1
 ! iterateMC: [Summary] Iteration           11 ;            0 % Te balance not reached in grid           1
 ! iterateMC: [Summary] Iteration           11 ; Total:     89.3075333     % converged cells over all grids
 ! iterateMC: [Summary] Iteration           11 ;      8000000  energy packets used
 T(H+)    12624.6807      componenet            0
 T(H+)    12624.6807      componenet            1
 ! iterateMC: [Summary] Iteration           12 ;           91 % converged cells in grid            1
 ! iterateMC: [Summary] Iteration           12 ;            0 % no hit cells in grid            1
 ! iterateMC: [Summary] Iteration           12 ;            0 % Ion balance not reached in grid            1
 ! iterateMC: [Summary] Iteration           12 ;            0 % Te balance not reached in grid           1
 ! iterateMC: [Summary] Iteration           12 ; Total:     91.8533630     % converged cells over all grids
 ! iterateMC: [Summary] Iteration           12 ;      8000000  energy packets used
 T(H+)    12622.9238      componenet            0
 T(H+)    12622.9238      componenet            1
